Period,Fiscal Year,period_fiscalyear,Currency(ISO),Average Rate(1002),Spot Rate(1001),tipo,moneda_destino
7,2020,7-2020,USD,1.0916,1.0876,IST,EUR
6,2020,6-2020,USD,1.09665,1.0956,IST,EUR
5,2020,5-2020,USD,1.10145,1.0977,IST,EUR
4,2020,4-2020,USD,1.1143,1.1052,IST,EUR
3,2020,3-2020,USD,1.1108,1.1234,IST,EUR
2,2020,2-2020,USD,1.09355,1.0982,IST,EUR
1,2020,1-2020,USD,1.09355,1.0982,IST,EUR
12,2019,12-2019,USD,1.09625,1.0889,IST,EUR
11,2019,11-2019,USD,1.10935,1.1036,IST,EUR
10,2019,10-2019,USD,1.12655,1.1151,IST,EUR
9,2019,9-2019,USD,1.12655,1.138,IST,EUR
8,2019,8-2019,USD,1.11845,1.1151,IST,EUR
7,2019,7-2019,USD,1.12265,1.1218,IST,EUR
6,2019,6-2019,USD,1.13255,1.1235,IST,EUR
5,2019,5-2019,USD,1.1452,1.1416,IST,EUR
4,2019,4-2019,USD,1.1469,1.1488,IST,EUR
3,2019,3-2019,USD,1.14045,1.145,IST,EUR
2,2019,2-2019,USD,1.14675,1.1359,IST,EUR
1,2019,1-2019,USD,1.14675,1.1359,IST,EUR
12,2018,12-2018,USD,1.16135,1.1576,IST,EUR
11,2018,11-2018,USD,1.16935,1.1651,IST,EUR
10,2018,10-2018,USD,1.1697,1.1736,IST,EUR
9,2018,9-2018,USD,1.16785,1.1658,IST,EUR
8,2018,8-2018,USD,1.1889,1.1699,IST,EUR
7,2018,7-2018,USD,1.22,1.2079,IST,EUR
6,2018,6-2018,USD,1.22675,1.2321,IST,EUR
5,2018,5-2018,USD,1.23355,1.2214,IST,EUR
4,2018,4-2018,USD,1.2225,1.2457,IST,EUR
3,2018,3-2018,USD,1.1921,1.1993,IST,EUR
2,2018,2-2018,USD,1.18275,1.1849,IST,EUR
1,2018,1-2018,USD,1.18275,1.1849,IST,EUR
